flightId,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,duration,days_left,price
278519,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,14.75,22,45883
264230,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Mumbai,9.33,6,58223
260097,Vistara,UK-852,Bangalore,Morning,one,Evening,Chennai,10.42,27,49992
218935,Vistara,UK-747,Delhi,Early_Morning,zero,Morning,Kolkata,2.08,47,45896
211085,Air_India,AI-762,Delhi,Night,one,Night,Mumbai,23.83,41,59033
251748,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,11.17,37,54684
292760,Air_India,AI-430,Chennai,Morning,one,Night,Mumbai,11.33,39,49553
292966,Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,15.08,42,49553
245610,Air_India,AI-565,Bangalore,Afternoon,one,Morning,Delhi,18.75,12,37658
261821,Air_India,AI-773,Kolkata,Evening,one,Afternoon,Delhi,19,11,53743
283750,Vistara,UK-830,Hyderabad,Morning,one,Evening,Kolkata,9.25,18,63579
282713,Vistara,UK-874,Hyderabad,Morning,one,Night,Bangalore,12.42,45,38099
281982,Air_India,AI-698,Hyderabad,Night,one,Evening,Bangalore,20.25,32,38043
252526,Air_India,AI-604,Bangalore,Morning,zero,Morning,Mumbai,2,46,20760
279317,Air_India,AI-840,Hyderabad,Night,one,Afternoon,Mumbai,16,34,45883
285809,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,13.42,12,51707
246698,Vistara,UK-852,Bangalore,Morning,one,Evening,Delhi,8.58,25,54841
274732,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Chennai,13.08,49,55983
271464,Vistara,UK-738,Kolkata,Evening,one,Evening,Hyderabad,22.25,27,52175
243380,Air_India,AI-888,Mumbai,Evening,one,Evening,Chennai,24,28,49613
273198,Vistara,UK-708,Kolkata,Night,one,Evening,Chennai,19.92,15,55983
272055,Vistara,UK-776,Kolkata,Evening,one,Night,Hyderabad,27.33,39,49207
286178,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Chennai,15.92,20,64139
292906,Vistara,UK-832,Chennai,Early_Morning,one,Afternoon,Mumbai,7.08,41,56273
214451,Air_India,AI-665,Delhi,Early_Morning,one,Evening,Bangalore,10.5,32,42457
293236,Vistara,UK-838,Chennai,Night,one,Morning,Mumbai,14.08,46,64113
298092,Vistara,UK-834,Chennai,Evening,one,Afternoon,Hyderabad,19.42,2,82784
272888,Vistara,UK-778,Kolkata,Afternoon,one,Morning,Chennai,18.58,8,56879
251389,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Mumbai,15.83,33,54684
269611,Vistara,UK-776,Kolkata,Evening,one,Night,Bangalore,27.33,39,52287
255561,Air_India,AI-808,Bangalore,Night,one,Morning,Kolkata,12,43,60508
208788,Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,23.75,21,41281
286619,Air_India,AI-840,Hyderabad,Night,one,Afternoon,Chennai,15.83,29,51595
228128,Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,17.33,32,41269
212231,Vistara,UK-943,Delhi,Early_Morning,one,Evening,Bangalore,10.25,5,62729
234370,Air_India,AI-888,Mumbai,Evening,one,Afternoon,Kolkata,17.5,5,49725
291172,Air_India,AI-440,Chennai,Early_Morning,one,Night,Mumbai,16,15,49553
296083,Air_India,AI-569,Chennai,Early_Morning,one,Night,Kolkata,17.33,6,54481
226190,Air_India,AI-660,Mumbai,Evening,zero,Night,Delhi,2.42,14,22140
265973,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,14.58,30,50271
292150,Vistara,UK-824,Chennai,Night,zero,Night,Mumbai,2.08,30,23838
207392,Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,11.33,8,53164
230619,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Bangalore,17.33,9,54608
256992,Vistara,UK-802,Bangalore,Evening,one,Evening,Hyderabad,25.08,18,56588
215289,Vistara,UK-953,Delhi,Night,one,Morning,Bangalore,12.17,42,42457
293081,Vistara,UK-824,Chennai,Night,zero,Night,Mumbai,2.08,44,23838
279509,Air_India,AI-559,Hyderabad,Early_Morning,one,Night,Mumbai,15.08,37,45883
219918,Vistara,UK-927,Delhi,Morning,one,Night,Hyderabad,11.42,16,46097
253514,Vistara,UK-814,Bangalore,Night,one,Evening,Kolkata,20.92,12,78428
265915,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Mumbai,14.25,29,58212
